Name            | Sing[k] | Dance[k] | Rally[Mio]
-------------------------------------------------
captain         | 429     | 313     | 11.0   
james           | 0       | 0       | 0      
athena          | 0       | 0       | 0      
pio             | 0       | 0       | 0      
eiva            | 0       | 0       | 0      
gurrion         | 0       | 0       | 0      
lilwest         | 0       | 0       | 0      
drStrange       | 227     | 202     | 9.56   
jazelhas        | 0       | 0       | 0      
traminator      | 0       | 0       | 0      
superman        | 187     | 161     | 816.0  
mikha           | 178     | 142     | 8.16   
leonidas        | 0       | 0       | 0      
mi5             | 0       | 0       | 0      
lofu            | 0       | 0       | 0      
jons            | 0       | 0       | 0      
ganda           | 0       | 0       | 0      
jupiter         | 0       | 0       | 0      
mrCool          | 0       | 0       | 0      
johnWick        | 0       | 0       | 0      
lien            | 0       | 0       | 0      
expe            | 0       | 0       | 0      
sam78           | 0       | 0       | 0      
pionty          | 0       | 0       | 0      
saitama         | 0       | 0       | 0      
alol            | 0       | 0       | 0      
vietnam         | 0       | 0       | 0      
bruceWayne      | 0       | 0       | 0      
mrKool          | 0       | 0       | 0      
piano           | 157     | 131     | 8.16   
ladreannis      | 0       | 0       | 0      
nina            | 0       | 0       | 0      
byeol           | 0       | 0       | 0      
ara             | 0       | 0       | 0      
sanyana         | 0       | 0       | 0      
stella          | 0       | 0       | 0      
larry           | 0       | 0       | 0      
markMondra      | 0       | 0       | 0      
hellriser       | 0       | 0       | 0      
jackal          | 0       | 0       | 0      
elnico          | 0       | 0       | 0      
l15             | 0       | 0       | 0      
pat050          | 0       | 0       | 0      
filo            | 0       | 0       | 0      
minny           | 0       | 0       | 0      
alaja           | 0       | 0       | 0      
davidlv         | 0       | 0       | 0      
c2p0            | 0       | 0       | 0      
garantio        | 0       | 0       | 0      
wj3adw          | 0       | 0       | 0      
vuivekhongquau  | 0       | 0       | 0      
jnp             | 0       | 0       | 0      
drots           | 0       | 0       | 0      
0815            | 0       | 0       | 0      
bude            | 0       | 0       | 0      
razzo           | 0       | 0       | 0      
firefly         | 0       | 0       | 0      
mocca           | 0       | 0       | 0      
gaunguwupr      | 0       | 0       | 0      
